table,panel,window,series,field,observed,expected,match
T2,D0,10Y,S&P 500 em BRL (PR),sortino,"0,773","0,773",True
T2,D0,10Y,S&P 500 em BRL (PR),neg,"38,84","38,84",True
T2,D0,10Y,S&P 500 em BRL (PR),worst,"-13,59","-13,59",True
T2,D0,10Y,S&P 500 em BRL (PR),best,"17,63","17,63",True
T2,D0,10Y,S&P 500 em BRL (PR),N,121,121,True
T2,D0,10Y,S&P 500 em BRL (TR),vol,"17,36","17,36",True
T2,D0,10Y,S&P 500 em BRL (TR),dd,"-26,24","-26,24",True
T2,D0,10Y,S&P 500 em BRL (TR),sharpe,"0,582","0,582",True
T2,D0,10Y,S&P 500 em BRL (TR),sortino,"0,951","0,951",True
T2,D0,10Y,S&P 500 em BRL (TR),neg,"38,02","38,02",True
T2,D0,10Y,S&P 500 em BRL (TR),worst,"-13,49","-13,49",True
T2,D0,10Y,S&P 500 em BRL (TR),best,"17,77","17,77",True
T2,D0,10Y,S&P 500 em BRL (TR),N,121,121,True
T2,D0,15Y,Portfólio A (TR),vol,"18,96","18,96",True
T2,D0,15Y,Portfólio A (TR),dd,"-33,24","-33,24",True
T2,D0,15Y,Portfólio A (TR),sharpe,"0,229","0,229",True
T2,D0,15Y,Portfólio A (TR),sortino,"0,339","0,339",True
T2,D0,15Y,Portfólio A (TR),neg,"39,78","39,78",True
T2,D0,15Y,Portfólio A (TR),worst,"-23,30","-23,30",True
T2,D0,15Y,Portfólio A (TR),best,"16,97","16,97",True
T2,D0,15Y,Portfólio A (TR),N,181,181,True
T2,D0,15Y,Portfólio B (TR),vol,"21,10","21,10",True
T2,D0,15Y,Portfólio B (TR),dd,"-31,69","-31,69",True
T2,D0,15Y,Portfólio B (TR),sharpe,"0,295","0,295",True
T2,D0,15Y,Portfólio B (TR),sortino,"0,424","0,424",True
T2,D0,15Y,Portfólio B (TR),neg,"40,33","40,33",True
T2,D0,15Y,Portfólio B (TR),worst,"-27,48","-27,48",True
T2,D0,15Y,Portfólio B (TR),best,"18,08","18,08",True
T2,D0,15Y,Portfólio B (TR),N,181,181,True
T2,D0,15Y,Portfólio C (TR),vol,"23,72","23,72",True
T2,D0,15Y,Portfólio C (TR),dd,"-42,61","-42,61",True
T2,D0,15Y,Portfólio C (TR),sharpe,"0,224","0,224",True
T2,D0,15Y,Portfólio C (TR),sortino,"0,326","0,326",True
T2,D0,15Y,Portfólio C (TR),neg,"42,54","42,54",True
T2,D0,15Y,Portfólio C (TR),worst,"-32,80","-32,80",True
T2,D0,15Y,Portfólio C (TR),best,"19,69","19,69",True
T2,D0,15Y,Portfólio C (TR),N,181,181,True
T2,D0,15Y,CDI (TR),vol,"1,01","1,01",True
T2,D0,15Y,CDI (TR),dd,"0,00","0,00",True
T2,D0,15Y,CDI (TR),sharpe,"0,000","0,000",True
T2,D0,15Y,CDI (TR),sortino,"0,000","0,000",True
T2,D0,15Y,CDI (TR),neg,"0,00","0,00",True
T2,D0,15Y,CDI (TR),worst,"0,13","0,13",True
T2,D0,15Y,CDI (TR),best,"1,28","1,28",True
T2,D0,15Y,CDI (TR),N,181,181,True
T2,D0,15Y,Ibovespa (TR),vol,"21,09","21,09",True
T2,D0,15Y,Ibovespa (TR),dd,"-41,10","-41,10",True
T2,D0,15Y,Ibovespa (TR),sharpe,"0,002","0,002",True
T2,D0,15Y,Ibovespa (TR),sortino,"0,002","0,002",True
T2,D0,15Y,Ibovespa (TR),neg,"43,65","43,65",True
T2,D0,15Y,Ibovespa (TR),worst,"-29,90","-29,90",True
T2,D0,15Y,Ibovespa (TR),best,"16,97","16,97",True
